"Input","Output","Status",
"AAD_PREMIUM","Microsoft Azure Active Directory Premium P1","Paid",
"ENTERPRISEPACK","Office 365 Enterprise E3","Paid",
"FLOW_FREE","Microsoft Flow 1","Free",
"EXCHANGEDESKLESS","Exchange Online K1","Paid",
"EXCHANGESTANDARD","Exchange Online E1","Paid",
"OFFICESUBSCRIPTION","Microsoft 365 Apps for enterprise","Paid",
"FLOW_PER_USER","Microsoft Power Automate per user Plan","Paid",
"O365_BUSINESS_ESSENTIALS","Microsoft 365 Business Basic","Paid",
"O365_BUSINESS_PREMIUM","Microsoft 365 Business Standard","Paid",
"POWER_BI_PRO","Microsoft Power BI Pro","Paid",
"POWER_BI_STANDARD","POWER BI (FREE)","Free",
"VISIOCLIENT","Visio Pro for Office 365","Paid",
"SPB","Microsoft 365 Business Premium","Paid",
"SPE_E3","MICROSOFT 365 E3","Paid",
"O365_BUSINESS","Microsoft 365 Apps for business","Paid",
"TEAMS_EXPLORATORY","MICROSOFT TEAMS EXPLORATORY","Free",
"PBI_PREMIUM_PER_USER","Microsoft Power BI Premium","Paid",
"WINDOWS_STORE","Windows Store","Free",
"RIGHTSMANAGEMENT_ADHOC","Ad-hocbeheer van rechten","Free",
